#Beta_peaks Enhancers
#Created from /project/NeuralNet/CRC/ROSE/2.rose_Beta_narrow.05_broad.1_incltss/Beta_peaks_12KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by Beta_H3K27ac.bam
#Using cutoff of 13012.3095 for Super-Enhancers
#Created on Oct 24 2022 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Beta_H3K27ac.bam	enhancerRank	isSuper
5_Beta_peak_3292_lociStitched	chr1	234735570	234756572	5	3719	27909.5578	48	1
5_Beta_peak_13555_lociStitched	chr17	17584748	17627907	5	4613	27893.6617	49	1
13_Beta_peak_13422_lociStitched	chr17	8022610	8080185	13	6020	27543.88	50	1
8_Beta_peak_18644_lociStitched	chr2	70298317	70336586	8	5741	27213.0859	51	1
5_Beta_peak_1941_lociStitched	chr1	121352031	121360109	5	3165	26819.7678	52	1
10_Beta_peak_3990_lociStitched	chr10	45458403	45497019	10	5364	26525.3304	53	1
6_Beta_peak_20664_lociStitched	chr20	29804408	29829938	6	2894	26326.536	54	1
12_Beta_peak_13940_lociStitched	chr17	38248142	38297030	12	8156	26301.744	55	1
1_Beta_peak_25196_lociStitched	chr4	68264369	68266721	1	2353	26108.376	56	1
5_Beta_peak_34807_lociStitched	chrUn_gl000224	2048	18991	5	3297	26056.6397	57	1
7_Beta_peak_33953_lociStitched	chr9	100264056	100282241	7	5487	25951.8135	58	1
9_Beta_peak_28425_lociStitched	chr6	40980912	41041544	9	6102	25610.9568	59	1
10_Beta_peak_5851_lociStitched	chr11	61335075	61378097	10	5538	25327.0514	60	1
7_Beta_peak_23066_lociStitched	chr3	46984732	47020965	7	3150	25116.7156	61	1
7_Beta_peak_18839_lociStitched	chr2	90371695	90393345	7	3206	24880.18	62	1
10_Beta_peak_10111_lociStitched	chr14	77466883	77508621	10	6850	24859.1528	63	1
9_Beta_peak_34331_lociStitched	chr9	130855905	130895269	9	6378	24783.5744	64	1
10_Beta_peak_17009_lociStitched	chr19	45582518	45630692	10	4170	24780.7056	65	1
9_Beta_peak_21868_lociStitched	chr22	23412676	23453368	9	5872	24740.736	66	1
9_Beta_peak_21782_lociStitched	chr22	19962474	20009494	9	6132	24652.586	67	1
4_Beta_peak_13403_lociStitched	chr17	7738117	7761785	4	6127	24328.3372	68	1
6_Beta_peak_13371_lociStitched	chr17	7137332	7166461	6	6209	24293.586	69	1
5_Beta_peak_34397_lociStitched	chr9	132244322	132259558	5	5433	24237.4288	70	1
6_Beta_peak_13571_lociStitched	chr17	17715867	17743935	6	3325	24144.0936	71	1
7_Beta_peak_12541_lociStitched	chr16	57640599	57673200	7	4234	24069.3183	72	1
6_Beta_peak_14408_lociStitched	chr17	57905623	57931500	6	4385	23770.6122	73	1
5_Beta_peak_12153_lociStitched	chr16	21512966	21531867	5	3191	23730.2055	74	1
5_Beta_peak_20606_lociStitched	chr20	22548746	22566220	5	4402	23689.5018	75	1
4_Beta_peak_22584_lociStitched	chr22_jh806584_fix	51313	68008	4	2031	23554.9755	76	1
7_Beta_peak_13246_lociStitched	chr17	2786200	2813901	7	3694	23379.644	77	1
9_Beta_peak_6659_lociStitched	chr11	118780220	118800990	9	5181	23235.399	78	1
7_Beta_peak_6635_lociStitched	chr11	117687895	117704986	7	3404	23137.7958	79	1
7_Beta_peak_12827_lociStitched	chr16	75271963	75300332	7	5167	23063.997	80	1
8_Beta_peak_15537_lociStitched	chr18	46428639	46479447	8	4088	23061.7512	81	1
13_Beta_peak_16793_lociStitched	chr19	39322030	39377161	13	6805	23044.758	82	1
12_Beta_peak_11685_lociStitched	chr16	718074	791382	12	7778	22879.4268	83	1
9_Beta_peak_16456_lociStitched	chr19	18385309	18435005	9	7126	22875.0688	84	1
4_Beta_peak_16313_lociStitched	chr19	13943872	13961874	4	3325	22740.1264	85	1
7_Beta_peak_4351_lociStitched	chr10	80982833	81020044	7	3507	22706.1522	86	1
9_Beta_peak_6687_lociStitched	chr11	119543643	119600146	9	6039	22685.9545	87	1
6_Beta_peak_34745_lociStitched	chrUn_gl000214	118251	135774	6	2218	22560.8625	88	1
4_Beta_peak_31586_lociStitched	chr7_gl000195_random	56098	87265	4	4277	22558.6746	89	1
9_Beta_peak_5092_lociStitched	chr11	795917	842902	9	6595	22449.433	90	1
5_Beta_peak_455_lociStitched	chr1	17215424	17254209	5	6074	22417.73	91	1
4_Beta_peak_8270_lociStitched	chr12	122232608	122251124	4	2358	22319.1864	92	1
12_Beta_peak_10104_lociStitched	chr14	77384434	77429237	12	6506	22302.9334	93	1
9_Beta_peak_11758_lociStitched	chr16	2174320	2203374	9	4829	22246.6478	94	1
7_Beta_peak_27732_lociStitched	chr5	179222468	179248681	7	5664	22241.7305	95	1
3_Beta_peak_35186_lociStitched	chrX	61682174	61692193	3	2671	21933.5948	96	1
2_Beta_peak_21263_lociStitched	chr21	9825528	9827512	2	1754	21847.0144	97	1
4_Beta_peak_18577_lociStitched	chr2	66653280	66674107	4	3800	21845.4403	98	1
1_Beta_peak_26116_lociStitched	chr5	10000	11661	1	1662	21819.0621	99	1
6_Beta_peak_33552_lociStitched	chr9	66817084	66844137	6	3505	21636.9894	100	1
3_Beta_peak_21275_lociStitched	chr21	10806899	10827397	3	1852	21553.647	101	1
6_Beta_peak_18845_lociStitched	chr2	91596582	91614780	6	3478	21551.8914	102	1
8_Beta_peak_15854_lociStitched	chr19	2031901	2061513	8	5710	21480.5448	103	1
11_Beta_peak_11034_lociStitched	chr15	62380300	62428945	11	6164	21418.3935	104	1
9_Beta_peak_31422_lociStitched	chr7	150642243	150688560	9	4703	21004.7595	105	1
8_Beta_peak_13548_lociStitched	chr17	17398066	17427614	8	6420	20934.758	106	1
10_Beta_peak_12602_lociStitched	chr16	67184003	67233378	10	6514	20851.0625	107	1
7_Beta_peak_14938_lociStitched	chr17	80224593	80256846	7	5929	20832.2127	108	1
8_Beta_peak_11564_lociStitched	chr15	93347341	93399599	8	6295	20772.555	109	1
4_Beta_peak_10712_lociStitched	chr15	37387530	37403451	4	2688	20678.1948	110	1
5_Beta_peak_20675_lociStitched	chr20	30286081	30311802	5	3620	20651.3909	111	1
10_Beta_peak_9862_lociStitched	chr14	65171170	65204218	10	4732	20539.332	112	1
9_Beta_peak_15849_lociStitched	chr19	1848140	1908231	9	5080	20521.0765	113	1
6_Beta_peak_20591_lociStitched	chr20	21492639	21517641	6	3286	20504.1402	114	1
7_Beta_peak_2255_lociStitched	chr1	156073612	156100025	7	5495	20491.2054	115	1
8_Beta_peak_14814_lociStitched	chr17	76871775	76931181	8	6706	20471.3076	116	1
8_Beta_peak_16916_lociStitched	chr19	42746288	42787737	8	5094	20467.5162	117	1
8_Beta_peak_31408_lociStitched	chr7	150052002	150087404	8	4123	20288.8862	118	1
8_Beta_peak_28537_lociStitched	chr6	43858024	43895241	8	3630	20272.0999	119	1
9_Beta_peak_11911_lociStitched	chr16	4974464	5007880	9	5107	20236.7296	120	1
7_Beta_peak_3297_lociStitched	chr1	234835333	234873843	7	4791	20213.899	121	1
5_Beta_peak_6526_lociStitched	chr11	111589478	111607416	5	2460	20112.0856	122	1
5_Beta_peak_13214_lociStitched	chr17	2296214	2305378	5	2807	19913.372	123	1
5_Beta_peak_3907_lociStitched	chr10	38798324	38818687	5	3179	19798.9449	124	1
8_Beta_peak_6233_lociStitched	chr11	72455466	72505213	8	3605	19699.812	125	1
6_Beta_peak_13569_lociStitched	chr17	17660337	17695859	6	3917	19661.427	126	1
8_Beta_peak_29930_lociStitched	chr7	4739164	4785809	8	6594	19609.558	127	1
6_Beta_peak_28876_lociStitched	chr6	100894247	100913324	6	3956	19548.2019	128	1
5_Beta_peak_20811_lociStitched	chr20	35089102	35122142	5	2891	19523.336	129	1
7_Beta_peak_8372_lociStitched	chr12	124990518	125013432	7	3586	19199.6406	130	1
7_Beta_peak_21071_lociStitched	chr20	50360681	50384860	7	3787	19036.1267	131	1
9_Beta_peak_32108_lociStitched	chr8	37739670	37762040	9	4306	18969.76	132	1
3_Beta_peak_3952_lociStitched	chr10	42596811	42600462	3	3154	18858.5103	133	1
9_Beta_peak_14151_lociStitched	chr17	43360055	43395221	9	4069	18834.9096	134	1
8_Beta_peak_27570_lociStitched	chr5	172191913	172234826	8	6341	18813.0592	135	1
10_Beta_peak_11454_lociStitched	chr15	89147200	89192608	10	6282	18730.8	136	1
5_Beta_peak_31987_lociStitched	chr8	28226972	28244493	5	2193	18616.0625	137	1
7_Beta_peak_22973_lociStitched	chr3	42084429	42123094	7	4041	18462.5375	138	1
5_Beta_peak_16825_lociStitched	chr19	39880827	39901540	5	4228	18285.4364	139	1
8_Beta_peak_1873_lociStitched	chr1	115611522	115642906	8	4515	18171.336	140	1
7_Beta_peak_3351_lociStitched	chr1	236439691	236467572	7	3355	18072.4642	141	1
6_Beta_peak_14387_lociStitched	chr17	57439215	57465693	6	3359	18023.5746	142	1
5_Beta_peak_30882_lociStitched	chr7	99594850	99621071	5	3000	17887.9662	143	1
10_Beta_peak_28432_lociStitched	chr6	41487246	41538126	10	5540	17782.56	144	1
4_Beta_peak_18650_lociStitched	chr2	70351272	70370613	4	4572	17691.2127	145	1
9_Beta_peak_4657_lociStitched	chr10	104153821	104192476	9	6358	17676.9315	146	1
5_Beta_peak_5954_lociStitched	chr11	63993788	64014822	5	3893	17658.043	147	1
4_Beta_peak_26440_lociStitched	chr5	50674929	50695622	4	2564	17626.2974	148	1
5_Beta_peak_22655_lociStitched	chr3	5018673	5037200	5	3930	17587.6811	149	1
5_Beta_peak_32707_lociStitched	chr8	103802763	103822895	5	3794	17373.916	150	1
6_Beta_peak_7017_lociStitched	chr12	6419409	6451581	6	4259	17295.6672	151	1
7_Beta_peak_14909_lociStitched	chr17	79761979	79791730	7	5896	17264.5053	152	1
6_Beta_peak_14671_lociStitched	chr17	72744881	72772440	6	3847	17240.9104	153	1
6_Beta_peak_8367_lociStitched	chr12	124893745	124924292	6	4127	17228.508	154	1
5_Beta_peak_8394_lociStitched	chr12	125398722	125424566	5	4749	17206.9352	155	1
3_Beta_peak_8642_lociStitched	chr13	28480286	28498972	3	1135	17133.1934	156	1
8_Beta_peak_7447_lociStitched	chr12	50898288	50937321	8	4811	17131.5837	157	1
9_Beta_peak_5664_lociStitched	chr11	46354653	46385789	9	5910	17031.392	158	1
6_Beta_peak_13179_lociStitched	chr17	1509173	1553782	6	5577	16920.1937	159	1
7_Beta_peak_2786_lociStitched	chr1	204283055	204333181	7	3796	16912.5124	160	1
10_Beta_peak_14711_lociStitched	chr17	73511208	73554557	10	5848	16758.7234	161	1
7_Beta_peak_13395_lociStitched	chr17	7451983	7487769	7	5468	16733.5336	162	1
4_Beta_peak_20218_lociStitched	chr2	239193814	239209460	4	3564	16672.3776	163	1
6_Beta_peak_33232_lociStitched	chr9	3497997	3527519	6	3413	16629.7426	164	1
5_Beta_peak_24704_lociStitched	chr4	1216073	1243607	5	2857	16597.4952	165	1
3_Beta_peak_31008_lociStitched	chr7	104652432	104665872	3	2993	16570.176	166	1
4_Beta_peak_6019_lociStitched	chr11	65186519	65190273	4	2146	16546.1304	167	1
6_Beta_peak_2276_lociStitched	chr1	156459250	156475596	6	3661	16507.8254	168	1
6_Beta_peak_22543_lociStitched	chr22	50714538	50745995	6	4639	16505.4879	169	1
10_Beta_peak_218_lociStitched	chr1	8214505	8263585	10	6273	16309.284	170	1
7_Beta_peak_559_lociStitched	chr1	21949252	21995811	7	3640	16295.65	171	1
8_Beta_peak_17050_lociStitched	chr19	46365988	46390602	8	3510	16208.319	172	1
4_Beta_peak_14666_lociStitched	chr17	72426310	72450945	4	3502	16177.8045	173	1
4_Beta_peak_2190_lociStitched	chr1	154370480	154393456	4	3830	16106.176	174	1
3_Beta_peak_34738_lociStitched	chrUn_gl000212	40529	44025	3	1498	15980.5656	175	1
5_Beta_peak_7405_lociStitched	chr12	49581901	49629075	5	6126	15907.0728	176	1
6_Beta_peak_6075_lociStitched	chr11	66024716	66057629	6	5063	15903.5616	177	1
6_Beta_peak_31780_lociStitched	chr8	11306079	11332446	6	4228	15896.6643	178	1
8_Beta_peak_14236_lociStitched	chr17	47784951	47824832	8	4732	15892.5785	179	1
6_Beta_peak_551_lociStitched	chr1	21645032	21671927	6	3186	15876.1185	180	1
6_Beta_peak_9953_lociStitched	chr14	69250819	69283563	6	3742	15844.8216	181	1
11_Beta_peak_14022_lociStitched	chr17	40687489	40730422	11	6525	15790.7574	182	1
8_Beta_peak_24085_lociStitched	chr3	149073602	149120541	8	4551	15780.8918	183	1
5_Beta_peak_19968_lociStitched	chr2	219848820	219867868	5	3834	15777.4584	184	1
3_Beta_peak_31533_lociStitched	chr7	156785770	156802438	3	2447	15729.5916	185	1
7_Beta_peak_92_lociStitched	chr1	2158568	2216482	7	4665	15712.0682	186	1
7_Beta_peak_34203_lociStitched	chr9	124030444	124062179	7	4160	15689.784	187	1
7_Beta_peak_4773_lociStitched	chr10	112581939	112632539	7	4468	15675.88	188	1
5_Beta_peak_922_lociStitched	chr1	33797762	33815368	5	1768	15665.8188	189	1
5_Beta_peak_17468_lociStitched	chr19	59069953	59087412	5	3352	15631.0427	190	1
3_Beta_peak_22464_lociStitched	chr22	46485301	46504055	3	2536	15575.197	191	1
7_Beta_peak_320_lociStitched	chr1	11003794	11036073	7	3899	15545.5664	192	1
4_Beta_peak_3_lociStitched	chr1	564550	570036	4	3376	15531.9632	193	1
7_Beta_peak_399_lociStitched	chr1	16029602	16065136	7	4408	15514.1444	194	1
9_Beta_peak_2384_lociStitched	chr1	164572127	164628995	9	3953	15513.5904	195	1
5_Beta_peak_4669_lociStitched	chr10	104402158	104418467	5	3896	15452.7775	196	1
8_Beta_peak_25696_lociStitched	chr4	140707493	140754579	8	4266	15425.3736	197	1
1_Beta_peak_14996_lociStitched	chr17_gl000205_random	84247	87196	1	2950	15408.525	198	1
5_Beta_peak_21745_lociStitched	chr22	18878033	18894260	5	3400	15370.2144	199	1
4_Beta_peak_21193_lociStitched	chr20	60929924	60962107	4	3870	15261.1786	200	1
7_Beta_peak_14548_lociStitched	chr17	65465620	65511827	7	3415	15257.5514	201	1
7_Beta_peak_9466_lociStitched	chr14	24629855	24665309	7	4211	15216.8568	202	1
7_Beta_peak_19932_lociStitched	chr2	218782712	218808712	7	3134	15108.6	203	1
7_Beta_peak_666_lociStitched	chr1	26086328	26126558	7	3607	15094.296	204	1
10_Beta_peak_15913_lociStitched	chr19	3028581	3068152	10	4607	15033.0229	205	1
6_Beta_peak_17379_lociStitched	chr19	56135692	56166927	6	5058	15020.9115	206	1
7_Beta_peak_3115_lociStitched	chr1	226296683	226323777	7	5648	15004.6572	207	1
5_Beta_peak_15966_lociStitched	chr19	4052161	4078142	5	4171	14993.6351	208	1
2_Beta_peak_33613_lociStitched	chr9	73027747	73036250	2	3665	14986.5375	209	1
8_Beta_peak_22107_lociStitched	chr22	32339715	32373706	8	5311	14976.4346	210	1
5_Beta_peak_14282_lociStitched	chr17	48996088	49027981	5	4879	14957.817	211	1
9_Beta_peak_33098_lociStitched	chr8	144590835	144651141	9	6830	14901.6126	212	1
9_Beta_peak_13147_lociStitched	chr17	916090	950752	9	5214	14866.5318	213	1
8_Beta_peak_2287_lociStitched	chr1	156697828	156722065	8	4067	14837.8914	214	1
4_Beta_peak_21577_lociStitched	chr21	43933387	43957348	4	2860	14800.7097	215	1
5_Beta_peak_310_lociStitched	chr1	10735248	10754385	5	2842	14785.2462	216	1
6_Beta_peak_14650_lociStitched	chr17	71287814	71308653	6	3418	14772.7671	217	1
11_Beta_peak_28150_lociStitched	chr6	26171960	26225121	11	7197	14725.597	218	1
6_Beta_peak_5843_lociStitched	chr11	61301428	61321131	6	2428	14720.1113	219	1
9_Beta_peak_468_lociStitched	chr1	17866367	17907638	9	4822	14713.1115	220	1
6_Beta_peak_28129_lociStitched	chr6	26020698	26057379	6	5072	14569.6932	221	1
5_Beta_peak_8359_lociStitched	chr12	124844513	124873912	5	2917	14549.5651	222	1
10_Beta_peak_13018_lociStitched	chr16	87756415	87814639	10	5072	14491.9536	223	1
7_Beta_peak_13197_lociStitched	chr17	1921173	1954174	7	4862	14470.9385	224	1
4_Beta_peak_21277_lociStitched	chr21	10843257	10857075	4	1422	14420.4648	225	1
6_Beta_peak_23124_lociStitched	chr3	49043821	49067250	6	4131	14401.8063	226	1
5_Beta_peak_12674_lociStitched	chr16	68771294	68795391	5	2995	14371.4508	227	1
8_Beta_peak_14291_lociStitched	chr17	49197486	49244446	8	6179	14350.976	228	1
6_Beta_peak_14869_lociStitched	chr17	79039085	79069674	6	4056	14340.1232	229	1
4_Beta_peak_2449_lociStitched	chr1	169075954	169086602	4	2492	14301.3288	230	1
7_Beta_peak_13279_lociStitched	chr17	3782880	3796043	7	3204	14291.0691	231	1
7_Beta_peak_713_lociStitched	chr1	27216144	27248941	7	5805	14283.0935	232	1
5_Beta_peak_951_lociStitched	chr1	36601722	36627007	5	3597	14235.455	233	1
11_Beta_peak_12354_lociStitched	chr16	31099489	31154224	11	5842	14209.206	234	1
2_Beta_peak_28477_lociStitched	chr6	42738499	42751942	2	2535	14127.2487	235	1
7_Beta_peak_32860_lociStitched	chr8	125641769	125686342	7	2527	14102.8972	236	1
4_Beta_peak_19383_lociStitched	chr2	157176495	157199666	4	4466	14078.6996	237	1
4_Beta_peak_7229_lociStitched	chr12	26253756	26279891	4	4564	14050.176	238	1
9_Beta_peak_11701_lociStitched	chr16	1175057	1218598	9	5895	14046.3266	239	1
6_Beta_peak_967_lociStitched	chr1	36839641	36863907	6	4399	14037.881	240	1
11_Beta_peak_5980_lociStitched	chr11	64610227	64646876	11	4393	13974.2637	241	1
7_Beta_peak_6037_lociStitched	chr11	65307119	65352930	7	5449	13967.7739	242	1
7_Beta_peak_18110_lociStitched	chr2	28837267	28863775	7	4081	13937.9064	243	1
4_Beta_peak_16789_lociStitched	chr19	39173503	39191749	4	3309	13892.5044	244	1
5_Beta_peak_7585_lociStitched	chr12	56497525	56522411	5	3353	13876.4336	245	1
5_Beta_peak_4923_lociStitched	chr10	126826811	126849002	5	2945	13851.6222	246	1
4_Beta_peak_25268_lociStitched	chr4	77121029	77135537	4	2935	13833.378	247	1
7_Beta_peak_20378_lociStitched	chr20	3766642	3801843	7	4769	13819.9126	248	1
7_Beta_peak_10211_lociStitched	chr14	90848665	90876309	7	3885	13816.4712	249	1
11_Beta_peak_4715_lociStitched	chr10	105631954	105683401	11	5779	13798.0854	250	1
8_Beta_peak_25719_lociStitched	chr4	140925289	140970637	8	3649	13785.792	251	1
8_Beta_peak_27442_lociStitched	chr5	150510019	150537280	8	4602	13758.6267	252	1
5_Beta_peak_16471_lociStitched	chr19	18527994	18545042	5	3276	13713.4112	253	1
5_Beta_peak_12279_lociStitched	chr16	30066209	30087865	5	4249	13695.2544	254	1
7_Beta_peak_33898_lociStitched	chr9	97786340	97811150	7	3153	13692.639	255	1
6_Beta_peak_25725_lociStitched	chr4	141052097	141075664	6	3328	13664.1466	256	1
6_Beta_peak_12794_lociStitched	chr16	73070610	73103089	6	3543	13621.6926	257	1
9_Beta_peak_17154_lociStitched	chr19	49122135	49149921	9	4093	13517.889	258	1
5_Beta_peak_6001_lociStitched	chr11	64879416	64903118	5	4142	13498.289	259	1
5_Beta_peak_30970_lociStitched	chr7	102146436	102158141	5	3091	13493.524	260	1
9_Beta_peak_23311_lociStitched	chr3	58011157	58057249	9	3742	13481.91	261	1
5_Beta_peak_2204_lociStitched	chr1	154928056	154956131	5	3208	13456.3475	262	1
5_Beta_peak_9551_lociStitched	chr14	35008355	35026315	5	3778	13417.916	263	1
8_Beta_peak_34589_lociStitched	chr9	139735272	139761296	8	4731	13358.1192	264	1
8_Beta_peak_14358_lociStitched	chr17	56012847	56038809	8	4051	13339.2756	265	1
7_Beta_peak_1146_lociStitched	chr1	45265175	45286117	7	5148	13195.5542	266	1
5_Beta_peak_27171_lociStitched	chr5	133839141	133862445	5	4051	13183.0728	267	1
8_Beta_peak_8321_lociStitched	chr12	123581841	123636142	8	4946	13059.3905	268	1
6_Beta_peak_7516_lociStitched	chr12	53440168	53456027	6	3172	13012.3095	269	0
5_Beta_peak_24548_lociStitched	chr3	193851551	193859939	5	2873	13009.788	270	0
6_Beta_peak_20754_lociStitched	chr20	33134289	33169834	6	3753	12966.816	271	0
8_Beta_peak_10350_lociStitched	chr14	96544339	96571840	8	4147	12963.9714	272	0
6_Beta_peak_11867_lociStitched	chr16	4357210	4379008	6	3455	12945.8322	273	0
5_Beta_peak_7652_lociStitched	chr12	58258731	58299217	5	3888	12919.0826	274	0
2_Beta_peak_24156_lociStitched	chr3	156533875	156544988	2	3196	12886.6348	275	0
8_Beta_peak_26638_lociStitched	chr5	69782414	69825405	8	5106	12867.2063	276	0
6_Beta_peak_17169_lociStitched	chr19	49284162	49322626	6	3617	12858.5152	277	0
7_Beta_peak_23264_lociStitched	chr3	53512135	53540544	7	3359	12846.5498	278	0
3_Beta_peak_20687_lociStitched	chr20	30777513	30795549	3	1867	12832.614	279	0
5_Beta_peak_4339_lociStitched	chr10	80853305	80873675	5	2089	12820.878	280	0
3_Beta_peak_4372_lociStitched	chr10	81955318	81965766	3	2839	12816.5616	281	0
4_Beta_peak_27755_lociStitched	chr5	180212318	180238553	4	3102	12810.5505	282	0
6_Beta_peak_23280_lociStitched	chr3	53766029	53811699	6	2710	12810.435	283	0
9_Beta_peak_8278_lociStitched	chr12	122478942	122529679	9	5729	12806.0188	284	0
7_Beta_peak_20250_lociStitched	chr2	241499728	241526090	7	3240	12777.6614	285	0
4_Beta_peak_407_lociStitched	chr1	16161012	16176707	4	4248	12771.0215	286	0
6_Beta_peak_14136_lociStitched	chr17	43224649	43250101	6	3368	12713.274	287	0
5_Beta_peak_3971_lociStitched	chr10	43891795	43916779	5	4714	12681.8784	288	0
7_Beta_peak_27144_lociStitched	chr5	132142712	132174332	7	4811	12641.676	289	0
4_Beta_peak_20117_lociStitched	chr2	232468706	232479595	4	3596	12639.9512	290	0
3_Beta_peak_14719_lociStitched	chr17	73629354	73643491	3	2566	12598.8944	291	0
3_Beta_peak_27913_lociStitched	chr6	7541674	7561751	3	2814	12572.2174	292	0
6_Beta_peak_12262_lociStitched	chr16	29816117	29833482	6	4743	12544.476	293	0
3_Beta_peak_2775_lociStitched	chr1	204042289	204062493	3	1534	12490.1128	294	0
6_Beta_peak_22526_lociStitched	chr22	50344367	50364275	6	4573	12488.2884	295	0
7_Beta_peak_14496_lociStitched	chr17	62961298	62985286	7	4012	12413.79	296	0
6_Beta_peak_22242_lociStitched	chr22	39096320	39130410	6	3826	12405.351	297	0
6_Beta_peak_13535_lociStitched	chr17	17288985	17320734	6	4300	12401.1594	298	0
7_Beta_peak_23175_lociStitched	chr3	50358685	50397010	7	4363	12378.975	299	0
4_Beta_peak_13655_lociStitched	chr17	25263830	25267926	4	2920	12332.2368	300	0
6_Beta_peak_20314_lociStitched	chr20	361342	389736	6	3776	12308.799	301	0
